train_scope,ship_type,scenario,feature_set,model,split,actual_label,pred_efficient,pred_medium,pred_inefficient
ship_type_model,Oil tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,25,261,354
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,492,102,24
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,84,442,92
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,11,110,497
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,444,174,23
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,149,242,250
ship_type_model,Container ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,12,112,517
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,357,84,38
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,89,257,132
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,26,111,341
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,365,61,26
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,131,241,79
ship_type_model,Chemical tanker,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,32,227,192
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,efficient,303,82,18
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,medium,46,231,126
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,holdout_2022,inefficient,19,38,346
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,efficient,303,73,24
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,medium,85,154,161
ship_type_model,General cargo ship,ship_type_model,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,27,65,308
