ship_type,reporting_year,report_scope,temporal_split,imo_number,ship_name,technical_efficiency_type,technical_efficiency_value,total_fuel_consumption_mt,fuel_per_distance_kg_nm,total_co2_emissions_mt,co2_per_distance_kg_nm,time_spent_at_sea_hours,efficiency_label_distance,distance_efficiency_rank_pct,isolation_score,isolation_rank_pct_ship_type,lof_score,lof_rank_pct_ship_type,predicted_co2_per_distance_kg_nm,residual_signed_log,residual_abs_z,residual_rank_pct_ship_type,consensus_score,consensus_rank_pct_global,method_flags_count,isolation_top2pct,lof_top2pct,residual_top2pct,dominant_deviation_fields,screening_explanation
General cargo ship,2021,annual_er,train,9037276,BEATA,EIV,14.25,178.322,165.72,570.2,529.91,5793.93,inefficient,0.996772,0.631538,0.985358,2.448254,0.995783,692.734299,-0.267497,33.651499,0.996837,0.992659,0.998476,3,true,true,true,total_fuel_consumption_mt:low:z=2.81; total_co2_emissions_mt:low:z=2.80; co2_per_distance_kg_nm:high:z=2.55,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are total_fuel_consumption_mt:low:z=2.81; total_co2_emissions_mt:low:z=2.80; co2_per_distance_kg_nm:high:z=2.55
Container ship,2018,annual_er,train,9371971,MCP FAMAGUSTA,EIV,10.04,258.27,53.18,810.7066,166.92,851.13,efficient,0.006329,0.639862,0.989891,1.753022,0.993031,132.449815,0.229762,26.842048,0.995022,0.992648,0.998464,3,true,true,true,total_co2_emissions_mt:low:z=3.14; total_fuel_consumption_mt:low:z=3.13; time_spent_at_sea_hours:low:z=1.87,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=3.14; total_fuel_consumption_mt:low:z=3.13; time_spent_at_sea_hours:low:z=1.87
Bulk carrier,2021,annual_er,train,9690509,WP AMBITION,EIV,4.45,147.15,17.15,471.76,54.99,753.3,efficient,0.000845,0.647923,0.990112,1.796119,0.990470,84.702293,-0.425706,51.787239,0.997181,0.992588,0.998452,3,true,true,true,co2_per_distance_kg_nm:low:z=6.62; fuel_per_distance_kg_nm:low:z=6.61; total_fuel_consumption_mt:low:z=3.05,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=6.62; fuel_per_distance_kg_nm:low:z=6.61; total_fuel_consumption_mt:low:z=3.05
Vehicle carrier,2018,annual_er,train,9285641,MORNING CROWN,NOT_APPLICABLE,,4778.2,15.23,14971.5632,47.73,2305.97,efficient,0.002268,0.663011,0.987774,2.765934,0.992790,133.871662,-1.018029,103.875929,0.997179,0.992581,0.998441,3,true,true,true,fuel_per_distance_kg_nm:low:z=12.39; co2_per_distance_kg_nm:low:z=12.28; total_co2_emissions_mt:high:z=0.73,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=12.39; co2_per_distance_kg_nm:low:z=12.28; total_co2_emissions_mt:high:z=0.73
Bulk carrier,2018,annual_er,train,9493731,VEGA TAURUS,EIV,5.72,166.2,17.01,526.9584,53.95,1359.8,efficient,0.001150,0.645494,0.989556,1.805330,0.990748,85.322529,-0.451667,54.952180,0.997300,0.992535,0.998429,3,true,true,true,co2_per_distance_kg_nm:low:z=6.69; fuel_per_distance_kg_nm:low:z=6.64; total_fuel_consumption_mt:low:z=2.87,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=6.69; fuel_per_distance_kg_nm:low:z=6.64; total_fuel_consumption_mt:low:z=2.87
Bulk carrier,2021,annual_er,train,9875630,EMERALD ETERNITY,EEDI,3.39,62.34,365.85,199.86,1172.89,37.3,inefficient,0.999718,0.721481,0.999285,1.573355,0.981535,1699.935355,-0.370855,45.100115,0.996744,0.992521,0.998417,3,true,true,true,co2_per_distance_kg_nm:high:z=5.88; fuel_per_distance_kg_nm:high:z=5.80; time_spent_at_sea_hours:low:z=5.11,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=5.88; fuel_per_distance_kg_nm:high:z=5.80; time_spent_at_sea_hours:low:z=5.11
Ro-pax ship,2023,annual_er,test,9878993,BASTØ ELECTRIC,EIV,42.7,391.45,8.04,1254.98,25.78,4508.73,efficient,0.007463,0.682199,0.991395,2.018642,0.990678,45.304144,-0.547576,45.372277,0.995339,0.992470,0.998406,3,true,true,true,co2_per_distance_kg_nm:low:z=7.52; fuel_per_distance_kg_nm:low:z=7.39; total_co2_emissions_mt:low:z=4.24,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=7.52; fuel_per_distance_kg_nm:low:z=7.39; total_co2_emissions_mt:low:z=4.24
Bulk carrier,2018,annual_er,train,9571040,ABDALA,,,2553.31,110.38,16023.8322,692.68,2454,inefficient,0.995976,0.638710,0.987849,1.803464,0.990668,343.404042,0.700195,85.475854,0.998769,0.992429,0.998394,3,true,true,true,co2_per_distance_kg_nm:high:z=3.72; total_co2_emissions_mt:high:z=2.07; total_fuel_consumption_mt:high:z=1.07,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=3.72; total_co2_emissions_mt:high:z=2.07; total_fuel_consumption_mt:high:z=1.07
LNG carrier,2023,annual_er,test,9850680,GAS AGILITY,EEDI,15.7,2130.91,1448.78,6056.24,4117.57,346.1,inefficient,0.997297,0.637004,0.988842,2.897578,0.990237,2185.968527,0.632990,25.206654,0.998140,0.992407,0.998382,3,true,true,true,fuel_per_distance_kg_nm:high:z=4.52; co2_per_distance_kg_nm:high:z=4.29; time_spent_at_sea_hours:low:z=2.25,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=4.52; co2_per_distance_kg_nm:high:z=4.29; time_spent_at_sea_hours:low:z=2.25
Vehicle carrier,2019,annual_er,train,8611984,CENK CAR,,,300.11,23.72,946.19,74.78,1806.04,efficient,0.004619,0.714427,0.998746,1.933357,0.986207,113.229284,-0.410373,41.946075,0.992163,0.992372,0.998371,3,true,true,true,fuel_per_distance_kg_nm:low:z=9.59; co2_per_distance_kg_nm:low:z=9.43; total_fuel_consumption_mt:low:z=2.95,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=9.59; co2_per_distance_kg_nm:low:z=9.43; total_fuel_consumption_mt:low:z=2.95
Chemical tanker,2019,annual_er,train,9823390,LILY PG,,,2550.5,34.8,7950.41,108.49,6662.3,efficient,0.005930,0.654302,0.991742,2.746639,0.995401,91.203802,0.171832,20.239181,0.989966,0.992370,0.998348,3,true,true,true,co2_per_distance_kg_nm:low:z=3.17; fuel_per_distance_kg_nm:low:z=3.13; time_spent_at_sea_hours:high:z=1.41,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.17; fuel_per_distance_kg_nm:low:z=3.13; time_spent_at_sea_hours:high:z=1.41
Chemical tanker,2022,annual_er,validation,9274537,SCOT FRANKFURT,EIV,15.56,1029.88,698.56,3301.79,2239.58,772.23,inefficient,0.999303,0.630811,0.984844,2.357569,0.992892,951.730325,0.855158,100.572585,0.999373,0.992370,0.998359,3,true,true,true,co2_per_distance_kg_nm:high:z=7.55; fuel_per_distance_kg_nm:high:z=7.51; technical_efficiency_value:high:z=1.68,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=7.55; fuel_per_distance_kg_nm:high:z=7.51; technical_efficiency_value:high:z=1.68
Bulk carrier,2018,annual_er,train,9400588,ESTESUN,NOT_APPLICABLE,,1254.54,40.73,3937.3591,127.82,4686.78,efficient,0.008911,0.661880,0.993805,1.801545,0.990549,141.840920,-0.103315,12.483289,0.992574,0.992310,0.998336,3,true,true,true,co2_per_distance_kg_nm:low:z=3.19; fuel_per_distance_kg_nm:low:z=3.17; time_spent_at_sea_hours:high:z=1.86,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.19; fuel_per_distance_kg_nm:low:z=3.17; time_spent_at_sea_hours:high:z=1.86
Chemical tanker,2022,annual_er,validation,9360441,VELOS TOPAZ,EIV,6.56,7567.895,262.2,23829.67,825.62,4872.7,inefficient,0.996516,0.636851,0.987248,2.139636,0.991429,1540.095815,-0.622904,73.191775,0.998223,0.992300,0.998324,3,true,true,true,co2_per_distance_kg_nm:high:z=4.01; fuel_per_distance_kg_nm:high:z=4.01; total_fuel_consumption_mt:high:z=2.04,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=4.01; fuel_per_distance_kg_nm:high:z=4.01; total_fuel_consumption_mt:high:z=2.04
Bulk carrier,2019,annual_er,train,8908868,TAILWIND,EIV,4.9,2908.94,657.68,9115.38,2060.9,6233.27,inefficient,0.998844,0.623633,0.983322,2.559270,0.997419,1562.301329,0.276828,33.861501,0.996148,0.992296,0.998313,3,true,true,true,fuel_per_distance_kg_nm:high:z=8.22; co2_per_distance_kg_nm:high:z=8.19; time_spent_at_sea_hours:high:z=2.28,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=8.22; co2_per_distance_kg_nm:high:z=8.19; time_spent_at_sea_hours:high:z=2.28
Container ship,2024,full_er,external_2024,9318931,ORITA,EEXI,26.79,64.24,40.92,201.60276,128.41,166.09,efficient,0.004058,0.716031,0.998775,1.493068,0.981620,97.365318,0.274297,32.044104,0.996171,0.992189,0.998301,3,true,true,true,total_co2_emissions_mt:low:z=4.58; total_fuel_consumption_mt:low:z=4.55; time_spent_at_sea_hours:low:z=4.28,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.58; total_fuel_consumption_mt:low:z=4.55; time_spent_at_sea_hours:low:z=4.28
Chemical tanker,2021,annual_er,train,9382114,VS SALOME,,0,106.2,117.12,340.47,375.46,304.3,inefficient,0.921669,0.656631,0.992056,3.859034,0.998432,342.621382,0.091271,10.768308,0.985889,0.992126,0.998289,3,true,true,true,technical_efficiency_value:low:z=4.81; total_fuel_consumption_mt:low:z=4.38; total_co2_emissions_mt:low:z=4.34,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are technical_efficiency_value:low:z=4.81; total_fuel_consumption_mt:low:z=4.38; total_co2_emissions_mt:low:z=4.34
Vehicle carrier,2018,annual_er,train,9441556,HERITAGE LEADER,NOT_APPLICABLE,,3902.7,542.19,12189.219,1693.42,894.2,inefficient,1.000000,0.641279,0.981191,5.225327,0.997492,568.695939,1.089993,110.965338,0.997492,0.992059,0.998278,3,true,true,true,fuel_per_distance_kg_nm:high:z=10.93; co2_per_distance_kg_nm:high:z=10.65; time_spent_at_sea_hours:low:z=0.86,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=10.93; co2_per_distance_kg_nm:high:z=10.65; time_spent_at_sea_hours:low:z=0.86
Bulk carrier,2024,full_er,external_2024,9762883,TRAMMO BAUMANN,EEXI,4.71,3.06,637.5,9.52884,1985.18,1.8,inefficient,0.998264,0.739354,0.999643,2.306834,0.996784,1915.569797,0.035676,4.461729,0.979470,0.991965,0.998266,2,true,true,false,time_spent_at_sea_hours:low:z=8.91; total_co2_emissions_mt:low:z=8.50; total_fuel_consumption_mt:low:z=8.24,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; largest robust deviations are time_spent_at_sea_hours:low:z=8.91; total_co2_emissions_mt:low:z=8.50; total_fuel_consumption_mt:low:z=8.24
Bulk carrier,2018,annual_er,train,9718208,VITTORIA,EIV,3.63,12446.93,396.35,38861.3422,1237.46,3059.52,inefficient,0.998850,0.644119,0.989120,3.198360,0.998412,1163.738828,0.061372,7.594383,0.988325,0.991952,0.998254,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.13; co2_per_distance_kg_nm:high:z=6.10; total_fuel_consumption_mt:high:z=3.36,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.13; co2_per_distance_kg_nm:high:z=6.10; total_fuel_consumption_mt:high:z=3.36
Ro-ro ship,2024,full_er,external_2024,9473468,CITY OF ROTTERDAM,EEXI,24,3543.21,57.22,495.03846,8,5131.3,efficient,0.004032,0.614090,0.979363,4.954905,0.995873,108.521893,-2.498900,302.395052,1.000000,0.991745,0.998243,2,false,true,true,co2_per_distance_kg_nm:low:z=12.74; total_co2_emissions_mt:low:z=5.32; fuel_per_distance_kg_nm:low:z=2.18,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=12.74; total_co2_emissions_mt:low:z=5.32; fuel_per_distance_kg_nm:low:z=2.18
Chemical tanker,2018,annual_er,train,9742053,HALCON TRADER,EEDI,6.77,23.26,184.6,74.5716,591.84,10.4,inefficient,0.990181,0.729528,0.999373,1.883404,0.988398,532.612509,0.105255,12.412208,0.987352,0.991708,0.998231,3,true,true,true,time_spent_at_sea_hours:low:z=6.68; total_fuel_consumption_mt:low:z=6.62; total_co2_emissions_mt:low:z=6.60,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.68; total_fuel_consumption_mt:low:z=6.62; total_co2_emissions_mt:low:z=6.60
Bulk carrier,2020,annual_er,train,9602784,GEMMA,EIV,2.45,5361.91,373.29,16783.9388,1168.47,1480,inefficient,0.998146,0.638630,0.987809,2.443729,0.997260,1087.441494,0.071804,8.866190,0.989874,0.991648,0.998220,3,true,true,true,fuel_per_distance_kg_nm:high:z=5.88; co2_per_distance_kg_nm:high:z=5.87; total_fuel_consumption_mt:high:z=2.14,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=5.88; co2_per_distance_kg_nm:high:z=5.87; total_fuel_consumption_mt:high:z=2.14
Container/ro-ro cargo ship,2018,annual_er,train,8805602,LINK STAR,NOT_APPLICABLE,,2640.14,35.81,8464.2888,114.81,6422.09,efficient,0.025000,0.698061,0.995816,2.565401,0.985356,196.885674,-0.535739,40.046118,0.993724,0.991632,0.998208,3,true,true,true,fuel_per_distance_kg_nm:low:z=5.85; co2_per_distance_kg_nm:low:z=5.76; total_fuel_consumption_mt:low:z=1.40,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:low:z=5.85; co2_per_distance_kg_nm:low:z=5.76; total_fuel_consumption_mt:low:z=1.40
Chemical tanker,2024,full_er,external_2024,9499371,JAY 2,EEXI,6.74,1104.689,567.21,3466.89315,1780.08,213.38,inefficient,0.999337,0.633315,0.985994,2.131472,0.991324,1030.745421,0.545968,64.223480,0.997491,0.991603,0.998196,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.76; co2_per_distance_kg_nm:high:z=6.73; time_spent_at_sea_hours:low:z=2.95,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.76; co2_per_distance_kg_nm:high:z=6.73; time_spent_at_sea_hours:low:z=2.95
Chemical tanker,2018,annual_er,train,9847140,CHEMICAL CONTENDER,EIV,9.16,496.6,734.29,1551.7484,2294.47,746.3,inefficient,1.000000,0.627170,0.983171,2.279750,0.992370,1174.662123,0.669106,78.699882,0.998955,0.991499,0.998185,3,true,true,true,fuel_per_distance_kg_nm:high:z=7.69; co2_per_distance_kg_nm:high:z=7.63; total_co2_emissions_mt:low:z=2.06,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=7.69; co2_per_distance_kg_nm:high:z=7.63; total_co2_emissions_mt:low:z=2.06
General cargo ship,2020,annual_er,train,9763837,AUDAX,NOT_APPLICABLE,,1393.51,185.21,4357.7874,579.18,677.17,inefficient,0.998369,0.664324,0.994377,1.880151,0.988169,652.702140,-0.119313,14.968732,0.991800,0.991449,0.998161,3,true,true,true,co2_per_distance_kg_nm:high:z=2.76; fuel_per_distance_kg_nm:high:z=2.74; time_spent_at_sea_hours:low:z=1.53,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=2.76; fuel_per_distance_kg_nm:high:z=2.74; time_spent_at_sea_hours:low:z=1.53
General cargo ship,2022,annual_er,validation,9763837,AUDAX,NOT_APPLICABLE,,4249.36,225.94,13387.02,711.79,2264.4,inefficient,0.999173,0.672956,0.996134,1.987501,0.991332,659.948435,0.075511,9.594522,0.986881,0.991449,0.998173,3,true,true,true,co2_per_distance_kg_nm:high:z=3.26; fuel_per_distance_kg_nm:high:z=3.21; total_co2_emissions_mt:high:z=1.54,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=3.26; fuel_per_distance_kg_nm:high:z=3.21; total_co2_emissions_mt:high:z=1.54
General cargo ship,2023,annual_er,test,9380817,ZIMRIDA,EEXI,6.71,425.73,232.31,1341.58,732.06,107,inefficient,0.999167,0.641292,0.988638,2.087523,0.992386,843.279805,-0.141256,17.735282,0.993206,0.991410,0.998150,3,true,true,true,time_spent_at_sea_hours:low:z=3.80; co2_per_distance_kg_nm:high:z=3.33; fuel_per_distance_kg_nm:high:z=3.28,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=3.80; co2_per_distance_kg_nm:high:z=3.33; fuel_per_distance_kg_nm:high:z=3.28
Bulk carrier,2022,annual_er,validation,9815939,MEDI GINEVRA,EEDI,3.04,100.8,752.24,323.16,2411.64,22,inefficient,1.000000,0.716467,0.999087,1.556410,0.980304,2007.213795,0.183476,22.480575,0.994838,0.991410,0.998138,3,true,true,true,co2_per_distance_kg_nm:high:z=8.84; fuel_per_distance_kg_nm:high:z=8.77; time_spent_at_sea_hours:low:z=5.85,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=8.84; fuel_per_distance_kg_nm:high:z=8.77; time_spent_at_sea_hours:low:z=5.85
Oil tanker,2024,full_er,external_2024,9292840,YELLOW TRADER,EEXI,2.83,5952.9,3040.3,18655.4574,9527.81,857.02,inefficient,0.998025,0.612658,0.977616,2.769180,0.997296,2531.016034,1.325304,197.683195,0.999099,0.991337,0.998126,2,false,true,true,fuel_per_distance_kg_nm:high:z=9.18; co2_per_distance_kg_nm:high:z=9.14; total_fuel_consumption_mt:high:z=1.09,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=9.18; co2_per_distance_kg_nm:high:z=9.14; total_fuel_consumption_mt:high:z=1.09
Chemical tanker,2018,annual_er,train,9323560,LEON HERMES,NOT_APPLICABLE,,3463.07,228.99,10852.126,717.57,4040.8,inefficient,0.996224,0.648152,0.990279,1.719210,0.984530,1533.790598,-0.758886,89.178153,0.999164,0.991324,0.998115,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.53; co2_per_distance_kg_nm:high:z=3.51; total_fuel_consumption_mt:high:z=0.86,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.53; co2_per_distance_kg_nm:high:z=3.51; total_fuel_consumption_mt:high:z=0.86
General cargo ship,2018,annual_er,train,9005429,NADA,EIV,14.3,6870.82,178.85,21426.8009,557.75,4711.58,inefficient,0.996540,0.627777,0.984186,2.250750,0.994612,659.039070,-0.166597,20.930182,0.994612,0.991137,0.998103,3,true,true,true,co2_per_distance_kg_nm:high:z=2.67; fuel_per_distance_kg_nm:high:z=2.66; total_fuel_consumption_mt:high:z=2.20,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:high:z=2.67; fuel_per_distance_kg_nm:high:z=2.66; total_fuel_consumption_mt:high:z=2.20
Bulk carrier,2023,annual_er,test,9305087,WINNER,EIV,3.73,26.5,158.68,84.299,504.78,13.5,inefficient,0.970300,0.698337,0.998253,1.568858,0.981178,576.403586,-0.132440,16.033934,0.993766,0.991065,0.998092,3,true,true,true,time_spent_at_sea_hours:low:z=6.52; total_co2_emissions_mt:low:z=5.49; total_fuel_consumption_mt:low:z=5.48,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=6.52; total_co2_emissions_mt:low:z=5.49; total_fuel_consumption_mt:low:z=5.48
Container ship,2024,full_er,external_2024,9139646,MEDKON LIA,EIV,39.5,41.51,36.61,129.42314,114.14,84.3,efficient,0.002254,0.745610,0.999617,1.506540,0.982922,130.213132,-0.130674,15.259720,0.990504,0.991014,0.998080,3,true,true,true,time_spent_at_sea_hours:low:z=5.28; total_co2_emissions_mt:low:z=5.03; total_fuel_consumption_mt:low:z=5.00,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are time_spent_at_sea_hours:low:z=5.28; total_co2_emissions_mt:low:z=5.03; total_fuel_consumption_mt:low:z=5.00
Chemical tanker,2019,annual_er,train,9249116,ELKA ATHINA,EIV,4.3,6372.79,209.18,20024.77,657.28,4258.5,inefficient,0.995552,0.634698,0.986412,1.985314,0.990175,1029.375348,-0.448048,52.635320,0.996446,0.991011,0.998068,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.20; co2_per_distance_kg_nm:high:z=3.20; total_fuel_consumption_mt:high:z=1.78,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.20; co2_per_distance_kg_nm:high:z=3.20; total_fuel_consumption_mt:high:z=1.78
Oil tanker,2019,annual_er,train,9495832,TRIDENT KING,EIV,5.12,267.49,29.92,845.83,94.62,1782.55,efficient,0.000510,0.643783,0.988057,2.002318,0.993841,105.520012,-0.107951,16.008433,0.991061,0.990986,0.998057,3,true,true,true,co2_per_distance_kg_nm:low:z=4.31; fuel_per_distance_kg_nm:low:z=4.29; total_fuel_consumption_mt:low:z=2.90,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=4.31; fuel_per_distance_kg_nm:low:z=4.29; total_fuel_consumption_mt:low:z=2.90
Container ship,2022,annual_er,validation,9306067,CALISTO,EIV,29.21,788.3,15.86,2480.38,49.9,4143.1,efficient,0.002157,0.605839,0.975417,3.684507,0.998545,107.921406,-0.760764,88.859066,0.998851,0.990938,0.998045,2,false,true,true,co2_per_distance_kg_nm:low:z=3.54; fuel_per_distance_kg_nm:low:z=3.50; total_co2_emissions_mt:low:z=1.98,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are co2_per_distance_kg_nm:low:z=3.54; fuel_per_distance_kg_nm:low:z=3.50; total_co2_emissions_mt:low:z=1.98
Container/ro-ro cargo ship,2019,annual_er,train,9302176,HENRY HUDSON BRIDGE,EIV,28.11,7925.3,277.31,24855.42,869.71,1678.3,inefficient,0.986842,0.639837,0.985356,3.626771,0.997908,617.604637,0.341843,25.542958,0.989540,0.990934,0.998033,3,true,true,true,technical_efficiency_value:high:z=5.19; fuel_per_distance_kg_nm:high:z=3.46; co2_per_distance_kg_nm:high:z=3.46,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are technical_efficiency_value:high:z=5.19; fuel_per_distance_kg_nm:high:z=3.46; co2_per_distance_kg_nm:high:z=3.46
Bulk carrier,2024,full_er,external_2024,9520821,AMAMI,EEXI,3.19,642.8,413.38,2014.44144,1295.46,104.4,inefficient,0.997520,0.635803,0.986975,1.702690,0.988087,2175.091712,-0.517893,63.026059,0.997697,0.990920,0.998022,3,true,true,true,fuel_per_distance_kg_nm:high:z=6.30; co2_per_distance_kg_nm:high:z=6.29; time_spent_at_sea_hours:low:z=3.64,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=6.30; co2_per_distance_kg_nm:high:z=6.29; time_spent_at_sea_hours:low:z=3.64
General cargo ship,2018,annual_er,train,9291963,BBC CAMPANA,EIV,13.4,74,267.73,232.506,841.19,929.94,inefficient,0.999135,0.653488,0.992269,1.982581,0.991098,763.408513,0.096903,12.291636,0.989341,0.990902,0.998010,3,true,true,true,total_co2_emissions_mt:low:z=4.04; total_fuel_consumption_mt:low:z=4.01; co2_per_distance_kg_nm:high:z=3.66,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are total_co2_emissions_mt:low:z=4.04; total_fuel_consumption_mt:low:z=4.01; co2_per_distance_kg_nm:high:z=3.66
Bulk carrier,2018,annual_er,train,9683245,KSL SEATTLE,EEDI,2.43,5605.74,227.95,17500.0617,711.62,3154.6,inefficient,0.996263,0.625968,0.983918,1.869398,0.992098,1011.261932,-0.350994,42.678787,0.996664,0.990893,0.997998,3,true,true,true,fuel_per_distance_kg_nm:high:z=3.86; co2_per_distance_kg_nm:high:z=3.83; total_fuel_consumption_mt:high:z=2.20,Isolation Forest and LOF both place this row in the ship-type top 2% multivariate outliers; reported CO2 per distance is below the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=3.86; co2_per_distance_kg_nm:high:z=3.83; total_fuel_consumption_mt:high:z=2.20
Oil tanker,2019,annual_er,train,9292034,TOWER BRIDGE,EIV,5.8,861.7,4511.52,2701.11,14141.93,716,inefficient,1.000000,0.611824,0.977165,2.256348,0.995418,2825.157707,1.610297,240.174288,0.999549,0.990711,0.997987,2,false,true,true,fuel_per_distance_kg_nm:high:z=10.33; co2_per_distance_kg_nm:high:z=10.30; total_co2_emissions_mt:low:z=1.40,LOF places this row in the ship-type top 2% local-density outliers; reported CO2 per distance is above the residual model expectation; largest robust deviations are fuel_per_distance_kg_nm:high:z=10.33; co2_per_distance_kg_nm:high:z=10.30; total_co2_emissions_mt:low:z=1.40
