normalized_field,sheet_count,sheets
voluntary_reporting__additional_information_to_facilitate_the_understanding_of_the_reported_average_operational_energy_efficiency_indicators,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__average_density_of_the_cargo_transported,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_distance_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_transport_work_dwt_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_transport_work_freight_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_transport_work_mass_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_transport_work_pax_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__co2_emissions_per_transport_work_volume_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_distance_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_transport_work_dwt_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_transport_work_freight_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_transport_work_mass_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_transport_work_pax_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__fuel_consumption_per_transport_work_volume_on_laden_voyages,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__through_ice,6,2018; 2019; 2020; 2021; 2022; 2023
voluntary_reporting__time_spent_at_sea,4,2020; 2021; 2022; 2023
voluntary_reporting__total_time_spent_at_sea,2,2018; 2019
voluntary_reporting__total_time_spent_at_sea_through_ice,6,2018; 2019; 2020; 2021; 2022; 2023
