consensus_rank,ship_type,reporting_year,report_scope,imo_number,ship_name,efficiency_label_distance,consensus_score,flags_1pct,at_least_two_1pct,all_three_1pct,flags_2pct,at_least_two_2pct,all_three_2pct,flags_5pct,at_least_two_5pct,all_three_5pct
31,Oil tanker,2018,annual_er,9308223,HELEN M,efficient,0.997546,3,true,true,3,true,true,3,true,true
32,Oil tanker,2022,annual_er,9251652,SEALING,inefficient,0.997546,3,true,true,3,true,true,3,true,true
33,Bulk carrier,2024,full_er,9724740,SKYWALKER,inefficient,0.997472,3,true,true,3,true,true,3,true,true
34,Container ship,2023,annual_er,9775751,VAYENGA MAERSK,efficient,0.997371,3,true,true,3,true,true,3,true,true
35,Bulk carrier,2024,full_er,9336000,SEVA,inefficient,0.997273,3,true,true,3,true,true,3,true,true
36,Ro-pax ship,2023,annual_er,7911533,MOBY DADA,inefficient,0.997251,3,true,true,3,true,true,3,true,true
37,Bulk carrier,2018,annual_er,9497438,VEGA MARS,efficient,0.997234,3,true,true,3,true,true,3,true,true
38,Container/ro-ro cargo ship,2018,annual_er,9186194,NORSTREAM,inefficient,0.997211,3,true,true,3,true,true,3,true,true
39,Bulk carrier,2023,annual_er,9392729,VEGA STETIND,inefficient,0.997181,3,true,true,3,true,true,3,true,true
40,Oil tanker,2023,annual_er,9173032,LEOPOLD,efficient,0.997121,3,true,true,3,true,true,3,true,true
41,Ro-pax ship,2023,annual_er,9769219,BASTØ VI,efficient,0.997012,3,true,true,3,true,true,3,true,true
42,Bulk carrier,2024,full_er,9712204,TIGER HEBEI,efficient,0.996969,3,true,true,3,true,true,3,true,true
43,Oil tanker,2024,full_er,9251652,SEALING,inefficient,0.996945,3,true,true,3,true,true,3,true,true
44,Oil tanker,2022,annual_er,9240201,PETROPORT,inefficient,0.996845,3,true,true,3,true,true,3,true,true
45,Container ship,2018,annual_er,9162681,ALASA,inefficient,0.996784,3,true,true,3,true,true,3,true,true
46,Bulk carrier,2021,annual_er,9605097,PACIFIC CYPRESS,inefficient,0.996731,3,true,true,3,true,true,3,true,true
47,Oil tanker,2019,annual_er,9240201,PETROPORT,inefficient,0.996670,3,true,true,3,true,true,3,true,true
48,Ro-ro ship,2018,annual_er,9203605,AYSHE,inefficient,0.996659,3,true,true,3,true,true,3,true,true
49,Bulk carrier,2018,annual_er,9675602,KYPROS SEA,efficient,0.996492,3,true,true,3,true,true,3,true,true
50,General cargo ship,2020,annual_er,9307358,TIMCA,inefficient,0.996486,3,true,true,3,true,true,3,true,true
51,Oil tanker,2018,annual_er,9394727,ASPHALT SPRING,efficient,0.996395,3,true,true,3,true,true,3,true,true
52,Bulk carrier,2018,annual_er,9349978,BURAK DEVAL,efficient,0.996347,3,true,true,3,true,true,3,true,true
53,Oil tanker,2020,annual_er,9240201,PETROPORT,inefficient,0.996294,3,true,true,3,true,true,3,true,true
54,Bulk carrier,2024,full_er,9929015,BBG HONG KONG,inefficient,0.996294,3,true,true,3,true,true,3,true,true
55,Bulk carrier,2024,full_er,9848132,YASA JUPITER,inefficient,0.996281,3,true,true,3,true,true,3,true,true
56,Oil tanker,2020,annual_er,9145413,ICARUS III,inefficient,0.996194,3,true,true,3,true,true,3,true,true
57,General cargo ship,2024,full_er,9473688,HANDY HEIDI,inefficient,0.996174,3,true,true,3,true,true,3,true,true
58,Chemical tanker,2019,annual_er,9448891,VEMAHONESTY,efficient,0.996167,3,true,true,3,true,true,3,true,true
59,Container ship,2024,full_er,9809203,ZHONG GU PENG LAI,efficient,0.996094,3,true,true,3,true,true,3,true,true
60,Oil tanker,2022,annual_er,9145413,ICARUS III,inefficient,0.996094,3,true,true,3,true,true,3,true,true
61,Bulk carrier,2020,annual_er,9200574,LADY SPERANZA,efficient,0.996082,3,true,true,3,true,true,3,true,true
62,General cargo ship,2019,annual_er,9307358,TIMCA,inefficient,0.996056,3,true,true,3,true,true,3,true,true
63,Bulk carrier,2019,annual_er,9602784,GEMMA,inefficient,0.996042,3,true,true,3,true,true,3,true,true
64,Chemical tanker,2019,annual_er,9247388,APATYTH,inefficient,0.996028,3,true,true,3,true,true,3,true,true
65,Refrigerated cargo carrier,2018,annual_er,9230995,CARLOS FISCHER,inefficient,0.996020,3,true,true,3,true,true,3,true,true
66,Container ship,2018,annual_er,9306471,STRAUSS,efficient,0.995941,3,true,true,3,true,true,3,true,true
67,Ro-pax ship,2022,annual_er,8700723,ISABELLE,inefficient,0.995936,3,true,true,3,true,true,3,true,true
